date,close,returns,label,rsi_14,macd,bb_upper,bb_lower,sma_7,sma_30,sentiment_avg,fear_greed,buy_hold,model,random,pred,in_market
2025-07-06,109203.84,0.009252,0,57.97,934.537099,110960.85383222,101592.39716778,108092.60285714,106518.08966667,0.0,66.0,17941.491114824952,5712.071567653872,12093.6413483455,0,0
2025-07-07,108262.94,-0.008653,1,54.7,911.556571,111152.71646121,101771.71153879,108252.09428571,106608.44933333,0.0,73.0,17786.907274275585,5712.071567653872,11977.453123532749,0,0
2025-07-08,108922.98,0.006078,1,56.55,935.816539,111416.03620216,101912.01179784,108715.21428571,106714.74866667,0.0,65.0,17895.34761662462,5712.071567653872,12050.475324478488,0,0
2025-07-09,111233.99,0.020995,1,62.34,1128.513134,112059.99969337,101925.58830663,109055.84142857,106747.11433333,0.0,66.0,18275.031750271126,5712.071567653872,12306.149278492812,0,0
2025-07-10,116010.0,0.04204,1,70.96,1647.617953,113810.58269795,101446.20630205,109973.73,106938.30133333,0.0,71.0,19059.699587769468,5712.071567653872,12834.533561170925,0,0
2025-07-11,117527.66,0.012997,0,73.07,2156.614628,115467.25060221,101330.30339779,111337.07571429,107234.386,0.0,71.0,19309.04140034058,5712.071567653872,12821.699027609755,0,0
2025-07-12,117420.0,-0.000916,1,72.66,2522.236131,116474.75234864,101968.41465136,112654.48714286,107625.995,0.0,79.0,19291.353552244556,5712.071567653872,12797.143888699182,0,0
2025-07-13,119086.64,0.014094,1,74.97,2912.899631,118150.81843014,101667.61956986,114066.31571429,108059.99666667,0.0,74.0,19565.171824125948,5712.071567653872,12784.346744810482,0,0
2025-07-14,119841.18,0.006316,0,75.95,3245.970811,119741.33338019,101452.92261981,115720.35,108540.88133333,0.0,74.0,19689.137910902566,5712.071567653872,12784.346744810482,0,0
2025-07-15,117758.09,-0.017535,1,67.98,3303.760472,120659.34163109,101576.66536891,116982.50857143,108946.35066667,0.0,73.0,19346.89957270511,5712.071567653872,12784.346744810482,0,0
2025-07-16,118630.43,0.007381,1,69.43,3380.975957,121592.52997165,101811.81402835,118039.14285714,109340.88066667,0.0,70.0,19490.21944459887,5712.071567653872,12784.346744810482,0,0
2025-07-17,119177.56,0.004601,0,70.33,3446.588476,122480.878172,102136.462828,118491.65142857,109828.427,0.0,74.0,19580.109397494798,5712.071567653872,12830.46553897862,0,0
2025-07-18,117924.84,-0.010567,0,65.55,3358.784855,123020.29359266,102659.85240734,118548.39142857,110263.029,0.0,73.0,19374.29552914215,5712.071567653872,12817.635073439642,0,0
2025-07-19,117840.0,-0.00072,0,65.22,3244.94823,123498.62635327,103129.82664673,118608.39142857,110702.40933333,0.0,74.0,19360.356860811607,5712.071567653872,12817.635073439642,0,0
2025-07-20,117265.12,-0.00489,1,62.95,3072.921152,123715.70554203,103924.60945797,118348.17428571,111167.98033333,0.0,72.0,19265.907760742502,5712.071567653872,12817.635073439642,0,0
2025-07-21,117380.36,0.000982,1,63.23,2912.315991,123635.69396296,105174.54303704,117996.62857143,111676.65866667,0.0,71.0,19284.840954264568,5712.071567653872,12817.401121916753,0,0
2025-07-22,119954.42,0.021692,0,68.82,2958.635071,124119.55787926,105801.16112074,118310.39,112309.677,0.0,72.0,19707.74251724098,5712.071567653872,13098.476759543702,0,0
2025-07-23,118755.99,-0.010041,0,63.95,2865.607055,124360.67594793,106477.16405207,118328.32714286,112757.079,0.0,74.0,19510.848147988585,5712.071567653872,12967.613657517617,0,0
2025-07-24,118340.99,-0.003501,0,62.3,2726.959954,124242.58500601,107630.92999399,118208.81714286,113165.67866667,0.0,71.0,19442.666307380667,5712.071567653872,12922.297546154561,0,0
2025-07-25,117614.31,-0.006159,1,59.42,2529.288067,123893.43579936,108921.69820064,118164.45571429,113508.13633333,0.0,70.0,19323.27744007233,5712.071567653872,12909.375248608407,0,0
2025-07-26,117919.99,0.002596,1,60.25,2369.977863,123536.28949054,110150.45950946,118175.88285714,113873.90066667,0.0,72.0,19373.498705221795,5712.071567653872,12909.375248608407,0,0
2025-07-27,119415.55,0.012603,0,64.13,2337.457814,122821.2394616,111980.7705384,118483.08714286,114286.166,0.0,73.0,19619.20962941354,5712.071567653872,13060.029646572144,0,0
2025-07-28,118062.32,-0.011397,0,58.56,2177.391475,121526.73130658,114189.21269342,118580.51,114645.017,0.0,75.0,19396.882612146434,5712.071567653872,13046.969616925571,0,0
2025-07-29,117950.76,-0.000945,0,58.11,2018.270424,120130.15255605,116257.46844395,118294.27285714,114964.81133333,0.0,73.0,19378.554019042287,5712.071567653872,13046.969616925571,0,0
2025-07-30,117840.3,-0.000937,0,57.64,1861.791076,119939.55065618,116631.10034382,118163.46,115321.27133333,0.0,74.0,19360.406148889157,5712.071567653872,13046.969616925571,0,0
2025-07-31,115764.08,-0.017776,0,49.52,1552.351918,120177.32726051,116216.96573949,117795.33,115657.36933333,0.0,72.0,19019.29650766755,5712.071567653872,12804.278876215098,0,0
2025-08-01,113297.93,-0.021533,0,41.97,1095.493296,120935.22880783,115046.85719217,117178.70428571,115805.647,0.0,65.0,18614.12386618511,5712.071567653872,12531.506248033904,0,0
2025-08-02,112546.35,-0.006656,1,39.96,665.116275,121433.14600808,113894.91099192,116411.04142857,115904.366,0.0,55.0,18490.6440884403,5712.071567653872,12518.97474178587,0,0
2025-08-03,114208.8,0.014663,1,46.09,452.963723,121305.13954723,113459.67945277,115667.22,116111.85133333,0.0,53.0,18763.773970171937,5712.071567653872,12691.19172151904,0,0
2025-08-04,115055.03,0.007382,0,48.95,349.090883,121299.60696003,113194.90603997,115237.60714286,116340.415,0.0,64.0,18902.804136383107,5712.071567653872,12785.227095067323,0,0
2025-08-05,114129.75,-0.008075,1,46.07,189.919275,121247.34054918,112797.10445082,114691.74857143,116504.612,0.0,60.0,18750.786561738063,5712.071567653872,12682.407471044593,0,0
2025-08-06,114992.27,0.007529,1,49.07,131.852867,121003.03655245,112622.87944755,114284.88714286,116728.923,0.0,54.0,18892.49307056009,5712.071567653872,12778.253033590077,0,0
2025-08-07,117472.01,0.021335,0,56.56,282.670662,120959.94142358,112620.69157642,114528.87714286,117013.89066667,0.0,62.0,19299.898461955443,5712.071567653872,13053.808470294774,0,0
